Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2008-02-01,Sydney,19.5,22.4,15.6,,,S,SSW,17.0,20.0,92.0,84.0,1017.6,1017.4,20.7,20.9,Yes,Yes
2008-02-02,Sydney,19.5,25.6,6.0,,,W,E,9.0,13.0,83.0,73.0,1017.9,1016.4,22.4,24.8,Yes,Yes
2008-02-03,Sydney,21.6,24.5,6.6,,,ESE,ESE,17.0,2.0,88.0,86.0,1016.7,1015.6,23.5,23.0,Yes,Yes
2008-02-04,Sydney,20.2,22.8,18.8,,,NNE,E,22.0,20.0,83.0,90.0,1014.2,1011.8,21.4,20.9,Yes,Yes
2008-02-05,Sydney,19.7,25.7,77.4,,,NNE,W,11.0,6.0,88.0,74.0,1008.3,1004.8,22.5,25.5,Yes,Yes
2008-02-06,Sydney,20.2,27.2,1.6,,,W,ENE,9.0,22.0,69.0,62.0,1002.7,998.6,23.8,26.0,Yes,Yes
2008-02-07,Sydney,18.6,26.3,6.2,,,W,S,15.0,15.0,75.0,80.0,999.0,1000.3,21.7,22.3,Yes,Yes
2008-02-08,Sydney,17.2,22.3,27.6,,,S,SE,7.0,15.0,77.0,61.0,1008.3,1007.4,18.9,21.1,Yes,Yes
2008-02-09,Sydney,16.4,20.8,12.6,,,SSW,W,19.0,9.0,92.0,91.0,1006.4,1007.6,17.1,16.5,Yes,Yes
2008-02-10,Sydney,14.6,24.2,8.8,,,W,SSE,11.0,20.0,80.0,53.0,1014.0,1013.4,17.2,23.3,Yes,No
2008-02-11,Sydney,16.4,23.9,0.0,,,WNW,E,9.0,26.0,78.0,53.0,1017.6,1015.3,18.9,23.7,No,No
2008-02-12,Sydney,18.9,27.3,0.0,,,N,NE,7.0,24.0,68.0,67.0,1010.7,1007.5,22.9,24.7,No,Yes
2008-02-13,Sydney,18.4,22.8,14.4,,,S,S,24.0,30.0,87.0,70.0,1009.2,1011.7,20.9,21.0,Yes,Yes
2008-02-14,Sydney,16.9,24.3,3.0,,,SSW,SSE,15.0,19.0,81.0,51.0,1017.2,1016.5,18.4,23.3,Yes,No
